RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2022-05-31,2022-07-31,2023-04-30
395107,152,"South Bend, IN",Msa,IN,2022-04-30,1.5,4.8,12.1
395109,153,"Spartanburg, SC",Msa,SC,2022-04-30,1.6,5.0,12.8
394579,154,"Evansville, IN",Msa,IN,2022-04-30,1.1,3.7,8.7
394747,155,"Kingsport, TN",Msa,TN,2022-04-30,0.6,3.5,9.6
395028,156,"Roanoke, VA",Msa,VA,2022-04-30,1.1,3.8,8.3
394646,157,"Green Bay, WI",Msa,WI,2022-04-30,1.4,4.4,10.3
394796,158,"Lincoln, NE",Msa,NE,2022-04-30,1.6,4.7,9.9
394602,159,"Fort Collins, CO",Msa,CO,2022-04-30,1.9,5.5,11.6
395179,160,"Utica, NY",Msa,NY,2022-04-30,0.9,3.3,8.4
394488,161,"Columbus, GA",Msa,GA,2022-04-30,1.1,4.0,8.4
394405,162,"Boulder, CO",Msa,CO,2022-04-30,2.4,6.2,11.6
394808,163,"Lubbock, TX",Msa,TX,2022-04-30,1.0,3.5,7.4
394572,164,"Erie, PA",Msa,PA,2022-04-30,1.6,4.8,9.1
394609,165,"Fort Smith, AR",Msa,AR,2022-04-30,1.1,3.7,8.1
394543,166,"Duluth, MN",Msa,MN,2022-04-30,1.9,5.1,9.9
394348,167,"Atlantic City, NJ",Msa,NJ,2022-04-30,3.4,9.4,18.0
394924,168,"New London, CT",Msa,CT,2022-04-30,2.2,5.3,10.3
395061,169,"San Luis Obispo, CA",Msa,CA,2022-04-30,1.6,5.3,11.9
394622,170,"Gainesville, FL",Msa,FL,2022-04-30,1.9,5.7,11.9
395065,171,"Santa Cruz, CA",Msa,CA,2022-04-30,2.0,5.3,12.7
394471,172,"Clarksville, TN",Msa,TN,2022-04-30,1.6,6.1,14.7
394447,173,"Cedar Rapids, IA",Msa,IA,2022-04-30,1.4,4.1,7.8
394851,174,"Merced, CA",Msa,CA,2022-04-30,1.8,5.8,14.1
395229,175,"Wilmington, NC",Msa,NC,2022-04-30,2.3,7.0,15.6
394741,176,"Kennewick, WA",Msa,WA,2022-04-30,1.5,4.9,13.2
394645,177,"Greeley, CO",Msa,CO,2022-04-30,1.9,5.9,13.1
395197,178,"Waco, TX",Msa,TX,2022-04-30,2.3,6.5,15.6
394937,179,"Olympia, WA",Msa,WA,2022-04-30,1.6,5.3,14.3
394323,180,"Amarillo, TX",Msa,TX,2022-04-30,1.5,4.8,10.3
394387,181,"Binghamton, NY",Msa,NY,2022-04-30,1.2,3.7,8.2
394660,182,"Hagerstown, WV",Msa,MD,2022-04-30,0.8,3.7,9.3
394412,183,"Bremerton, WA",Msa,WA,2022-04-30,0.6,3.6,11.5
394772,184,"Laredo, TX",Msa,TX,2022-04-30,0.6,2.6,5.0
394811,185,"Lynchburg, VA",Msa,VA,2022-04-30,1.4,4.3,8.9
395240,186,"Yakima, WA",Msa,WA,2022-04-30,1.2,4.8,13.5
753875,187,"Crestview-Fort Walton Beach-Destin, FL",Msa,FL,2022-04-30,2.1,6.3,15.1
395161,188,"Topeka, KS",Msa,KS,2022-04-30,0.9,3.5,8.5
394813,189,"Macon-Bibb County, GA",Msa,GA,2022-04-30,1.3,4.7,11.4
394454,190,"Champaign-Urbana, IL",Msa,IL,2022-04-30,1.2,3.6,6.2
395171,191,"Tuscaloosa, AL",Msa,AL,2022-04-30,1.0,3.6,7.8
394483,192,"College Station, TX",Msa,TX,2022-04-30,1.5,4.3,7.7
395103,193,"Sioux Falls, SD",Msa,SD,2022-04-30,1.1,3.5,8.5
394455,194,"Charleston, WV",Msa,WV,2022-04-30,-0.3,0.7,0.6
394334,195,"Appleton, WI",Msa,WI,2022-04-30,1.9,5.4,11.6
394464,196,"Chico, CA",Msa,CA,2022-04-30,0.9,3.8,9.4
394459,197,"Charlottesville, VA",Msa,VA,2022-04-30,1.1,3.8,7.6
394468,198,"Claremont, NH",Msa,NH,2022-04-30,0.7,4.2,11.4
394361,199,"Barnstable Town, MA",Msa,MA,2022-04-30,2.2,6.2,13.4
394803,200,"Longview, TX",Msa,TX,2022-04-30,1.1,3.4,5.3
394429,201,"Burlington, VT",Msa,VT,2022-04-30,1.3,4.2,8.7
395002,202,"Prescott, AZ",Msa,AZ,2022-04-30,1.7,5.5,14.4
395114,203,"Springfield, IL",Msa,IL,2022-04-30,,3.3,5.0
395174,204,"Tyler, TX",Msa,TX,2022-04-30,1.9,5.8,12.1
394773,205,"Las Cruces, NM",Msa,NM,2022-04-30,1.6,4.9,9.8
394585,206,"Fargo, ND",Msa,ND,2022-04-30,1.1,3.2,5.2
394691,207,"Houma, LA",Msa,LA,2022-04-30,0.7,2.8,4.9
395030,208,"Rochester, MN",Msa,MN,2022-04-30,1.0,3.8,8.6
394597,209,"Florence, SC",Msa,SC,2022-04-30,1.4,4.2,8.7
394848,210,"Medford, OR",Msa,OR,2022-04-30,1.2,3.9,9.4
753895,211,"Lafayette-West Lafayette, IN",Msa,IN,2022-04-30,1.1,4.0,10.3
394378,212,"Bellingham, WA",Msa,WA,2022-04-30,1.3,4.9,14.2
